Dropout,Epoch,Train Loss,Train Acc,Val Loss,Val Acc,F1 Score,Learning Rate
0,1,1.3847925510451693,0.460554608141173,1.2100186601598213,0.5346897931954636,0.5218786071690082,3e-05
0,2,1.137005634358709,0.5697708904871358,1.0816435331993914,0.5917278185456971,0.5732170681457812,3e-05
0,3,1.042749678495371,0.602765626158523,1.06402443698112,0.5983989326217478,0.5803559094003113,3e-05
0,4,0.9739238273758459,0.6270482687031956,1.0075188482061346,0.6314209472981988,0.6160832280390989,3e-05
0,5,0.918109943798933,0.6552976940757766,0.9771278361056713,0.6387591727818546,0.6342416339553882,3e-05
0,6,0.8714805020116517,0.6717579891747609,0.9511254404453521,0.6474316210807205,0.6424645561111528,3e-05
0,7,0.8237336717228189,0.6895899755319937,0.9586801300657556,0.6454302868579053,0.6374334158205389,3e-05
0,8,0.7783785576786475,0.7090902350411508,0.961731196718013,0.6537691794529686,0.64810877228394,3e-05
0,9,0.7331194297821035,0.725995402980648,0.9380718089164571,0.6634422948632421,0.6615211910161504,3e-05
0,10,0.6897393340041852,0.7441981167049752,0.9844919633358082,0.6464309539693128,0.64091132666667,3e-05
0,11,0.6457581570221914,0.761770593905242,1.0095158029109874,0.6474316210807205,0.6391721960121073,3e-05
0,12,0.5985187680517893,0.7784162526877734,1.0165244531124196,0.6387591727818546,0.6365055520216902,3e-05
0,13,0.5583278302332801,0.7967672573589383,1.035228616379677,0.6561040693795864,0.6470876885305816,3e-05
0,14,0.5212294985474003,0.8108919700452287,1.094082166539862,0.6601067378252168,0.6581400028025716,3e-05
0,15,0.4916294186742385,0.821494772744124,1.0521116345486743,0.6464309539693128,0.6488511540705034,3e-06
0,16,0.3864198689706518,0.8623489285979091,1.1326544880867004,0.652101400933956,0.6462495216015114,3e-06
0,17,0.36884560549004947,0.8673908207903908,1.143403356379651,0.6534356237491661,0.6527747194464527,3e-06
0,18,0.35729017221673404,0.8727663676132572,1.1548471666396933,0.6587725150100067,0.6567581872031188,3e-06
0,19,0.344828113736982,0.8785126418032179,1.1701094774489706,0.6544362908605738,0.65296381049781,3e-06
0,20,0.3341767776986999,0.8801067694817232,1.1776398788107203,0.6574382921947965,0.6550934492740937,3e-06
0,21,0.328450738006576,0.8822940609475791,1.176174172695647,0.6534356237491661,0.6518088270022646,3.0000000000000004e-07
0,22,0.3213688472718424,0.8864462074590346,1.1826694721871234,0.6534356237491661,0.6517243459731678,3.0000000000000004e-07
0,23,0.3187233482209427,0.8857788981982649,1.184024675095335,0.6554369579719813,0.6532621085681896,3.0000000000000004e-07
0,24,0.312503422394183,0.8880032624008304,1.1898116900565776,0.6544362908605738,0.6523397754047314,3.0000000000000004e-07
0.1,1,1.3833922057355186,0.4655594275969452,1.2258944765050361,0.5296864576384256,0.5145352772908093,3e-05
0.1,2,1.1365385010344158,0.5677689627048269,1.0827920944132703,0.5887258172114743,0.5716754416848732,3e-05
0.1,3,1.0411728802732947,0.6081041002446801,1.0406764872530674,0.6084056037358239,0.5996083604923719,3e-05
0.1,4,0.9803848345697773,0.6307926151108475,1.0405977964401245,0.609072715143429,0.6015526141093858,3e-05
0.1,5,0.9196694668435372,0.653926002817528,1.0231242078415892,0.6220813875917278,0.6036307322143996,3e-05
0.1,6,0.875448870856615,0.6699784978127086,0.9870872890695612,0.6374249499666444,0.6229775787555779,3e-05
0.1,7,0.8338716145940301,0.6845110106028027,0.9627556534523659,0.6414276184122748,0.6323359023765686,3e-05
0.1,8,0.7883266887817337,0.7061244161043968,0.9756258130073547,0.6490993995997332,0.6384341870048401,3e-05
0.1,9,0.7468302132676563,0.7216949655223549,0.9630477644027547,0.6467645096731154,0.6388051608860605,3e-05
0.1,10,0.706403185829732,0.7381181878846297,0.9832845178056271,0.6527685123415611,0.6491728128276417,3e-05
0.1,11,0.666950525689464,0.7567657744494699,0.9787046985423311,0.6631087391594396,0.6559015388670505,3e-05
0.1,12,0.6202799737170974,0.770853414399051,1.0355041458251628,0.6437625083388926,0.6425591019737198,3e-05
0.1,13,0.5839638948016822,0.7854971453992734,1.0498856787985944,0.6561040693795864,0.649052022877134,3e-06
0.1,14,0.49125289987613807,0.8221250092681842,1.0500378913067756,0.6544362908605738,0.651886650497714,3e-06
0.1,15,0.47365677925223987,0.8278342107214355,1.0636804737943284,0.6517678452301534,0.6494549360462233,3e-06
0.1,16,0.4618787523623891,0.8330243938607548,1.0759127381000113,0.6504336224149433,0.647471755404751,3e-06
0.1,17,0.4592914075294942,0.8328761029139171,1.0893513585658783,0.6534356237491661,0.6514591931179333,3e-06
0.1,18,0.4407042039655396,0.842403796248239,1.1114664382122932,0.6501000667111407,0.6458745979328642,3e-06
0.1,19,0.43310035027175153,0.8464447245495662,1.1179020214588085,0.6527685123415611,0.6494873162787558,3.0000000000000004e-07
0.1,20,0.4287381773170137,0.8461852153926003,1.1163743277813525,0.6527685123415611,0.6494513360214051,3.0000000000000004e-07
0.1,21,0.42466775172553356,0.8472603247571736,1.1189862857473658,0.6534356237491661,0.6499338244773788,3.0000000000000004e-07
0.1,22,0.42302581049960936,0.8492622525394825,1.1201500829229964,0.6517678452301534,0.6482987843546666,3.0000000000000004e-07
0.3,1,1.4253301450991518,0.4425743308371024,1.2598141583990543,0.5283522348232155,0.5064504398183177,3e-05
0.3,2,1.1719205731181737,0.55405205012234,1.1405953714188108,0.5740493662441628,0.5520752931108419,3e-05
