Config,Patch Size,Num Heads,Embedding Dim,Num Transformer Layers
1,16,8,256,6
2,16,8,256,12
3,16,8,384,6
4,16,8,384,12
5,16,8,512,6
6,16,8,512,12
7,16,8,768,6
8,16,8,768,12
9,32,8,256,6
10,32,8,256,12
11,32,8,384,6
12,32,8,384,12
13,32,8,512,6
14,32,8,512,12
15,32,8,768,6
16,32,8,768,12
