Config,Patch Size,Num Heads,Embedding Dim,Num Transformer Layers
9,32,8,256,6
10,32,8,256,12
11,32,8,384,6
12,32,8,384,12
13,32,8,512,6
14,32,8,512,12
15,32,8,768,6
16,32,8,768,12
